id,term,category_parent,category_sub,name,professor,credit
30367,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,中国語初級（インテンシヴ）,白 春花,2.0
30368,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,韓国朝鮮語初級（インテンシヴ）,ジ ミンギョン,2.0
30369,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,アラビア語初級（会話）,エベード イハーブ,2.0
30370,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ベトナム語中級（第三外国語）,大泉 さやか,2.0
30372,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,ペルシア語初級（第三外国語）,前田 君江,2.0
30373,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,古典中国語,谷口 洋,2.0
30374,Ｓ,総合科目,Ａ（思想・芸術）,言語構造論,広瀬 友紀,2.0
30375,Ｓ,総合科目,Ａ（思想・芸術）,比較思想,大石 紀一郎,2.0
30376,Ｓ,総合科目,Ａ（思想・芸術）,科学史,橋本 毅彦,2.0
30377,Ｓ,総合科目,Ｂ（国際・地域）,国際関係論,古城 佳子,2.0
30378,Ｓ,総合科目,Ｂ（国際・地域）,国際関係史,川島 真,2.0
30379,Ｓ,総合科目,Ｂ（国際・地域）,現代国際社会論,篠田 英朗,2.0
30380,Ｓ,総合科目,Ｂ（国際・地域）,歴史社会論,桜井 英治,2.0
30381,Ｓ,総合科目,Ｂ（国際・地域）,近現代史,磯部 裕幸,2.0
30382,Ｓ,総合科目,Ｂ（国際・地域）,民族文化論,岩本 通弥,2.0
30383,Ｓ,総合科目,Ｄ（人間・環境）,環境物質科学,佐藤 守俊,2.0
30384,Ｓ,総合科目,Ｄ（人間・環境）,地域生態学,平井 幸弘,2.0
30385,Ｓ,総合科目,Ｄ（人間・環境）,認知脳科学,四本 裕子,2.0
30386,Ｓ,総合科目,Ｄ（人間・環境）,適応行動論,齋藤 慈子,2.0
30387,Ｓ,総合科目,Ｄ（人間・環境）,スポーツ・身体運動実習,久保 啓太郎,2.0
30388,Ｓ,総合科目,Ｄ（人間・環境）,身体運動科学,工藤 和俊,2.0
30390,Ｓ,総合科目,Ｅ（物質・生命）,量子論,加藤 雄介,2.0
30391,Ｓ,総合科目,Ｅ（物質・生命）,物理科学Ⅰ（文科生）,池上 高志,2.0
30392,Ｓ,総合科目,Ｅ（物質・生命）,超分子化学,平岡 秀一,2.0
30393,Ｓ,総合科目,Ｅ（物質・生命）,動物科学,道上 達男,2.0
30394,Ｓ,総合科目,Ｅ（物質・生命）,植物科学,和田 元,2.0
30395,Ｓ,総合科目,Ｅ（物質・生命）,進化学,伊藤 元己,2.0
30396,Ｓ,総合科目,Ｆ（数理・情報）,微分積分学続論,高山 茂晴,2.0
30397,Ｓ,総合科目,Ｆ（数理・情報）,微分積分学続論,橋本 義武,2.0
30398,Ｓ,総合科目,Ｆ（数理・情報）,数理科学概論Ⅲ(文科生),高木 俊輔,2.0
30399,Ｓ,総合科目,Ｆ（数理・情報）,図形科学演習Ⅰ,舘 知宏,2.0
